Address,Street,COMMON,x,y
900,DRUID PARK LAKE DR,tree of heaven,-8531170.41405377,4768216.015257421
900,DRUID PARK LAKE DR,tree of heaven,-8532190.659299724,4767810.818537079
900,DRUID PARK LAKE DR,tree of heaven,-8531319.34747727,4767921.8647421645
900,DRUID PARK LAKE DR,tree of heaven,-8531404.026864808,4767872.028617189
900,DRUID PARK LAKE DR,tree of heaven,-8531977.40916474,4768122.686932114
900,DRUID PARK LAKE DR,tree of heaven,-8531953.87891299,4768128.384371218
900,DRUID PARK LAKE DR,tree of heaven,-8532062.082324736,4768217.337766139
900,DRUID PARK LAKE DR,tree of heaven,-8532186.891060453,4768127.090257302
900,DRUID PARK LAKE DR,tree of heaven,-8531348.14492786,4768381.613346524
2001,RACE ST,tree of heaven,-8528820.29377496,4759883.472388037
200,W HAMBURG ST,tree of heaven,-8529154.610878153,4761756.150347971
200,W HAMBURG ST,tree of heaven,-8529155.484013824,4761742.735939379
200,W HAMBURG ST,tree of heaven,-8529153.340994943,4761760.357255633
150,W HAMBURG ST,tree of heaven,-8528890.4038129,4761574.326791955
150,W HAMBURG ST,tree of heaven,-8528890.28907616,4761566.415738077
150,W HAMBURG ST,tree of heaven,-8528890.747697487,4761571.231140601
1701,S CHARLES ST,tree of heaven,-8528591.085518064,4760477.574403339
1701,S CHARLES ST,tree of heaven,-8528600.769225275,4760477.415694626
1701,S CHARLES ST,tree of heaven,-8528588.704265479,4760477.574386874
1701,S CHARLES ST,tree of heaven,-8528598.943532936,4760477.336311626
1701,S CHARLES ST,tree of heaven,-8528597.673558485,4760477.415624094
801,W WEST ST,tree of heaven,-8530187.29623068,4761649.27588474
1120,SCOTT ST,tree of heaven,-8530271.647328334,4761767.527480662
1201,WICOMICO ST,tree of heaven,-8530526.17333852,4761185.908429884
1201,WICOMICO ST,tree of heaven,-8530524.268316044,4761183.58013059
1301,BUSH ST,tree of heaven,-8531140.302774383,4761493.131302721
1800,BAYARD ST,tree of heaven,-8530495.789547397,4761128.6820293665
2132,MAISEL ST,tree of heaven,-8532016.97369896,4759855.16564666
1915,HOLLINS FERRY ROAD,tree of heaven,-8532382.158837631,4760388.780237598
2110,HAINES ST,tree of heaven,-8529988.998602327,4760551.588387281
2110,HAINES ST,tree of heaven,-8529984.976929974,4760546.0850796355
