"daytime","policeDistrict","date","actual_date","year","doy","temp_K","callscount","temp_F","UTCI"
0,"Central","2022-05-06",2022125,2022,125,288.526666666667,0,59.6780000000006,284.18300374349
0,"Central","2022-05-10",2022129,2022,129,280.74,0,45.6620000000001,282.817236582438
0,"Central","2022-05-11",2022130,2022,130,284.691111111111,0,52.7739999999999,285.708958943685
0,"Central","2022-05-12",2022131,2022,131,287.744,0,58.2692000000001,287.754044850667
0,"Central","2022-05-14",2022133,2022,133,290.975,0,64.0850000000001,291.546548207601
0,"Central","2022-05-18",2022137,2022,137,287.871111111111,0,58.4979999999999,289.202011108398
0,"Central","2022-05-19",2022138,2022,138,290.666666666667,0,63.5300000000007,291.807214101156
0,"Central","2022-05-23",2022142,2022,142,298.97,0,78.4760000000001,292.030372619629
0,"Central","2022-05-30",2022149,2022,149,293.077142857143,0,67.8688571428574,297.625157674154
0,"Central","2022-05-31",2022150,2022,150,294.26,0,69.998,300.367949167887
0,"Central","2022-06-01",2022151,2022,151,298.151111111111,0,77.0019999999998,301.476680755615
0,"Central","2022-06-02",2022152,2022,152,300.048888888889,0,80.4180000000002,300.354934692383
0,"Central","2022-06-05",2022155,2022,155,292.068888888889,1,66.0540000000002,291.565339406331
0,"Central","2022-06-07",2022157,2022,157,292.865714285714,0,67.4882857142852,290.748725891113
0,"Central","2022-06-09",2022159,2022,159,293.16,0,68.0180000000001,295.814975738525
0,"Central","2022-06-11",2022161,2022,161,289.34,0,61.142,293.384436289469
0,"Central","2022-06-16",2022166,2022,166,295.046666666667,0,71.4140000000007,296.450621287028
0,"Central","2022-06-19",2022169,2022,169,296.768888888889,0,74.5140000000003,286.590606689453
0,"Central","2022-06-20",2022170,2022,170,291.777142857143,0,65.5288571428575,291.40557607015
0,"Central","2022-06-25",2022175,2022,175,291.276,0,64.6268000000001,298.470344543457
0,"Central","2022-06-26",2022176,2022,176,295.304444444444,0,71.8779999999993,297.931440989176
0,"Central","2022-06-27",2022177,2022,177,297.822222222222,0,76.4099999999997,297.299601236979
0,"Central","2022-06-29",2022179,2022,179,295.168888888889,0,71.6340000000002,296.523431142171
0,"Central","2022-06-30",2022180,2022,180,293.797777777778,0,69.1660000000004,298.974952697754
0,"Central","2022-07-01",2022181,2022,181,294.874285714286,0,71.1037142857148,300.41957728068
0,"Central","2022-07-02",2022182,2022,182,299.137777777778,0,78.7780000000005,300.72311147054
0,"Central","2022-07-07",2022187,2022,187,296.446666666667,2,73.9340000000007,298.726020812988
0,"Central","2022-07-09",2022189,2022,189,295.555555555555,0,72.329999999999,296.027231852214
0,"Central","2022-07-12",2022192,2022,192,292.6,0,67.0100000000001,297.599135080973
